当前时间(s): 0.0 音符打开: B3; 力度: 85(强)
当前时间(s): 128.275 音符打开: B4; 力度: 85(强)
当前时间(s): 128.456 音符关闭: B3; 力度: 55
当前时间(s): 128.458 音符打开: #C4; 力度: 85(强)
当前时间(s): 128.46 音符关闭: B4; 力度: 55
当前时间(s): 128.462 音符打开: B4; 力度: 85(强)
当前时间(s): 128.643 音符关闭: #C4; 力度: 55
当前时间(s): 128.645 音符打开: B3; 力度: 85(强)
当前时间(s): 128.648 音符关闭: B4; 力度: 55
当前时间(s): 128.649 音符打开: #C5; 力度: 85(强)
当前时间(s): 128.831 音符关闭: B3; 力度: 55
当前时间(s): 128.832 音符打开: #F3; 力度: 85(强)
当前时间(s): 128.835 音符关闭: #C5; 力度: 55
当前时间(s): 128.836 音符打开: #D5; 力度: 85(强)
当前时间(s): 129.018 音符关闭: #F3; 力度: 55
当前时间(s): 129.019 音符打开: B3; 力度: 85(强)
当前时间(s): 129.022 音符关闭: #D5; 力度: 55
当前时间(s): 129.023 音符打开: #C5; 力度: 85(强)
当前时间(s): 129.205 音符关闭: B3; 力度: 55
当前时间(s): 129.206 音符打开: #C4; 力度: 85(强)
当前时间(s): 129.209 音符关闭: #C5; 力度: 55
当前时间(s): 129.21 音符打开: #D5; 力度: 85(强)
当前时间(s): 129.392 音符关闭: #C4; 力度: 55
当前时间(s): 129.393 音符打开: B3; 力度: 85(强)
当前时间(s): 129.396 音符关闭: #D5; 力度: 55
当前时间(s): 129.398 音符打开: E5; 力度: 85(强)
当前时间(s): 129.579 音符关闭: B3; 力度: 55
当前时间(s): 129.581 音符打开: #D4; 力度: 85(强)
当前时间(s): 129.583 音符关闭: E5; 力度: 55
当前时间(s): 129.585 音符打开: #D5; 力度: 85(强)
当前时间(s): 129.766 音符关闭: #D4; 力度: 55
当前时间(s): 129.768 音符打开: B3; 力度: 85(强)
当前时间(s): 129.953 音符关闭: B3; 力度: 55
当前时间(s): 129.955 音符打开: #C4; 力度: 85(强)
当前时间(s): 129.958 音符关闭: #D5; 力度: 55
当前时间(s): 129.959 音符打开: #C5; 力度: 85(强)
当前时间(s): 130.14 音符关闭: #C4; 力度: 55
当前时间(s): 130.142 音符打开: B3; 力度: 85(强)
当前时间(s): 130.145 音符关闭: #C5; 力度: 55
当前时间(s): 130.146 音符打开: B4; 力度: 85(强)
当前时间(s): 130.327 音符关闭: B3; 力度: 55
当前时间(s): 130.329 音符打开: E3; 力度: 85(强)
当前时间(s): 130.515 音符关闭: E3; 力度: 55
当前时间(s): 130.516 音符打开: B3; 力度: 85(强)
当前时间(s): 130.702 音符关闭: B3; 力度: 55
当前时间(s): 130.703 音符打开: #C4; 力度: 85(强)
当前时间(s): 130.889 音符关闭: #C4; 力度: 55
当前时间(s): 130.89 音符打开: B3; 力度: 85(强)
当前时间(s): 131.076 音符关闭: B3; 力度: 55
当前时间(s): 131.077 音符打开: #D4; 力度: 85(强)
当前时间(s): 131.263 音符关闭: #D4; 力度: 55
当前时间(s): 131.265 音符打开: B3; 力度: 85(强)
当前时间(s): 131.45 音符关闭: B3; 力度: 55
当前时间(s): 131.452 音符打开: #C4; 力度: 85(强)
当前时间(s): 131.637 音符关闭: #C4; 力度: 55
当前时间(s): 131.639 音符打开: B3; 力度: 85(强)
当前时间(s): 131.825 音符关闭: B3; 力度: 55
当前时间(s): 131.826 音符打开: E3; 力度: 85(强)
当前时间(s): 131.832 音符关闭: B4; 力度: 55
当前时间(s): 132.012 音符关闭: E3; 力度: 55
当前时间(s): 132.013 音符打开: B3; 力度: 85(强)
当前时间(s): 132.199 音符关闭: B3; 力度: 55
当前时间(s): 132.2 音符打开: #C4; 力度: 85(强)
当前时间(s): 132.386 音符关闭: #C4; 力度: 55
当前时间(s): 132.387 音符打开: B3; 力度: 85(强)
当前时间(s): 132.573 音符关闭: B3; 力度: 55
当前时间(s): 132.575 音符打开: #D4; 力度: 85(强)
当前时间(s): 132.583 音符打开: B4; 力度: 85(强)
当前时间(s): 132.76 音符关闭: #D4; 力度: 55
当前时间(s): 132.762 音符打开: B3; 力度: 85(强)
当前时间(s): 132.947 音符关闭: B3; 力度: 55
当前时间(s): 132.949 音符打开: #C4; 力度: 85(强)
当前时间(s): 132.957 音符关闭: B4; 力度: 55
当前时间(s): 132.958 音符打开: #C5; 力度: 85(强)
当前时间(s): 133.134 音符关闭: #C4; 力度: 55
当前时间(s): 133.136 音符打开: B3; 力度: 85(强)
当前时间(s): 133.321 音符关闭: B3; 力度: 55
当前时间(s): 133.323 音符打开: #G3; 力度: 85(强)
当前时间(s): 133.331 音符关闭: #C5; 力度: 55
当前时间(s): 133.333 音符打开: #D5; 力度: 85(强)
当前时间(s): 133.509 音符关闭: #G3; 力度: 55
当前时间(s): 133.51 音符打开: B3; 力度: 85(强)
当前时间(s): 133.518 音符关闭: #D5; 力度: 55
当前时间(s): 133.52 音符打开: #C5; 力度: 85(强)
当前时间(s): 133.696 音符关闭: B3; 力度: 55
当前时间(s): 133.697 音符打开: #C4; 力度: 85(强)
当前时间(s): 133.706 音符关闭: #C5; 力度: 55
当前时间(s): 133.707 音符打开: #D5; 力度: 85(强)
当前时间(s): 133.883 音符关闭: #C4; 力度: 55
当前时间(s): 133.884 音符打开: B3; 力度: 85(强)
当前时间(s): 133.893 音符关闭: #D5; 力度: 55
当前时间(s): 133.894 音符打开: E5; 力度: 85(强)
当前时间(s): 134.07 音符关闭: B3; 力度: 55
当前时间(s): 134.071 音符打开: #D4; 力度: 85(强)
当前时间(s): 134.08 音符关闭: E5; 力度: 55
当前时间(s): 134.081 音符打开: #D5; 力度: 85(强)
当前时间(s): 134.257 音符关闭: #D4; 力度: 55
当前时间(s): 134.259 音符打开: B3; 力度: 85(强)
当前时间(s): 134.267 音符关闭: #D5; 力度: 55
当前时间(s): 134.268 音符打开: B4; 力度: 85(强)
当前时间(s): 134.444 音符关闭: B3; 力度: 55
当前时间(s): 134.446 音符打开: #C4; 力度: 85(强)
当前时间(s): 134.454 音符关闭: B4; 力度: 55
当前时间(s): 134.456 音符打开: B4; 力度: 85(强)
当前时间(s): 134.631 音符关闭: #C4; 力度: 55
当前时间(s): 134.633 音符打开: B3; 力度: 85(强)
当前时间(s): 134.641 音符关闭: B4; 力度: 55
当前时间(s): 134.643 音符打开: #C5; 力度: 85(强)
当前时间(s): 134.819 音符关闭: B3; 力度: 55
当前时间(s): 134.82 音符打开: #F3; 力度: 85(强)
当前时间(s): 134.828 音符关闭: #C5; 力度: 55
当前时间(s): 134.83 音符打开: #D5; 力度: 85(强)
当前时间(s): 135.006 音符关闭: #F3; 力度: 55
当前时间(s): 135.007 音符打开: B3; 力度: 85(强)
当前时间(s): 135.015 音符关闭: #D5; 力度: 55
当前时间(s): 135.017 音符打开: #C5; 力度: 85(强)
当前时间(s): 135.193 音符关闭: B3; 力度: 55
当前时间(s): 135.194 音符打开: #C4; 力度: 85(强)
当前时间(s): 135.202 音符关闭: #C5; 力度: 55
当前时间(s): 135.204 音符打开: #D5; 力度: 85(强)
当前时间(s): 135.38 音符关闭: #C4; 力度: 55
当前时间(s): 135.381 音符打开: B3; 力度: 85(强)
当前时间(s): 135.39 音符关闭: #D5; 力度: 55
当前时间(s): 135.391 音符打开: E5; 力度: 85(强)
当前时间(s): 135.567 音符关闭: B3; 力度: 55
当前时间(s): 135.569 音符打开: #D4; 力度: 85(强)
当前时间(s): 135.577 音符关闭: E5; 力度: 55
当前时间(s): 135.578 音符打开: #D5; 力度: 85(强)
当前时间(s): 135.754 音符关闭: #D4; 力度: 55
当前时间(s): 135.756 音符打开: B3; 力度: 85(强)
当前时间(s): 135.941 音符关闭: B3; 力度: 55
当前时间(s): 135.943 音符打开: #C4; 力度: 85(强)
当前时间(s): 135.951 音符关闭: #D5; 力度: 55
当前时间(s): 135.953 音符打开: #C5; 力度: 85(强)
当前时间(s): 136.128 音符关闭: #C4; 力度: 55
当前时间(s): 136.13 音符打开: B3; 力度: 85(强)
当前时间(s): 136.138 音符关闭: #C5; 力度: 55
当前时间(s): 136.14 音符打开: B4; 力度: 85(强)
当前时间(s): 136.315 音符关闭: B3; 力度: 55
当前时间(s): 136.317 音符打开: E3; 力度: 85(强)
当前时间(s): 136.326 音符关闭: B4; 力度: 55
当前时间(s): 136.327 音符打开: B4; 力度: 85(强)
当前时间(s): 136.503 音符关闭: E3; 力度: 55
当前时间(s): 136.504 音符打开: B3; 力度: 85(强)
当前时间(s): 136.69 音符关闭: B3; 力度: 55
当前时间(s): 136.691 音符打开: #C4; 力度: 85(强)
当前时间(s): 136.877 音符关闭: #C4; 力度: 55
当前时间(s): 136.878 音符打开: B3; 力度: 85(强)
当前时间(s): 137.064 音符关闭: B3; 力度: 55
当前时间(s): 137.065 音符打开: #D4; 力度: 85(强)
当前时间(s): 137.251 音符关闭: #D4; 力度: 55
当前时间(s): 137.253 音符打开: B3; 力度: 85(强)
当前时间(s): 137.438 音符关闭: B3; 力度: 55
当前时间(s): 137.44 音符打开: #C4; 力度: 85(强)
当前时间(s): 137.625 音符关闭: #C4; 力度: 55
当前时间(s): 137.627 音符打开: B3; 力度: 85(强)
当前时间(s): 137.813 音符关闭: B3; 力度: 55
当前时间(s): 137.814 音符打开: E3; 力度: 85(强)
当前时间(s): 137.814 音符打开: #G3; 力度: 85(强)
当前时间(s): 137.825 音符关闭: B4; 力度: 55
当前时间(s): 138.014 音符打开: B3; 力度: 85(强)
当前时间(s): 138.2 音符关闭: B3; 力度: 55
当前时间(s): 138.201 音符打开: #C4; 力度: 85(强)
当前时间(s): 138.387 音符关闭: #C4; 力度: 55
当前时间(s): 138.388 音符打开: #D4; 力度: 85(强)
当前时间(s): 138.574 音符关闭: #D4; 力度: 55
当前时间(s): 138.576 音符打开: E4; 力度: 85(强)
当前时间(s): 138.761 音符关闭: E4; 力度: 55
当前时间(s): 138.763 音符打开: #F4; 力度: 85(强)
当前时间(s): 138.937 音符关闭: #G3; 力度: 55
当前时间(s): 138.948 音符关闭: #F4; 力度: 55
当前时间(s): 138.95 音符打开: #A4; 力度: 85(强)
当前时间(s): 139.136 音符关闭: #A4; 力度: 55
当前时间(s): 139.312 音符关闭: E3; 力度: 55
当前时间(s): 139.314 音符打开: #G2; 力度: 85(强)
当前时间(s): 139.325 音符打开: #F4; 力度: 85(强)
当前时间(s): 139.325 音符打开: B4; 力度: 85(强)
当前时间(s): 139.499 音符关闭: #G2; 力度: 55
当前时间(s): 139.501 音符打开: #D3; 力度: 85(强)
当前时间(s): 139.51 音符关闭: #F4; 力度: 55
当前时间(s): 139.51 音符关闭: B4; 力度: 55
当前时间(s): 139.512 音符打开: #C5; 力度: 85(强)
当前时间(s): 139.686 音符关闭: #D3; 力度: 55
当前时间(s): 139.688 音符打开: #G3; 力度: 85(强)
当前时间(s): 139.697 音符关闭: #C5; 力度: 55
当前时间(s): 139.699 音符打开: #D5; 力度: 85(强)
当前时间(s): 139.874 音符关闭: #G3; 力度: 55
当前时间(s): 139.875 音符打开: B3; 力度: 85(强)
当前时间(s): 139.884 音符关闭: #D5; 力度: 55
当前时间(s): 139.886 音符打开: #F4; 力度: 85(强)
当前时间(s): 139.886 音符打开: B4; 力度: 85(强)
当前时间(s): 140.061 音符关闭: B3; 力度: 55
当前时间(s): 140.071 音符关闭: #F4; 力度: 55
当前时间(s): 140.071 音符关闭: B4; 力度: 55
当前时间(s): 140.073 音符打开: #C5; 力度: 85(强)
当前时间(s): 140.259 音符关闭: #C5; 力度: 55
当前时间(s): 140.26 音符打开: #D5; 力度: 85(强)
当前时间(s): 140.437 音符打开: E2; 力度: 85(强)
当前时间(s): 140.446 音符关闭: #D5; 力度: 55
当前时间(s): 140.447 音符打开: #F4; 力度: 85(强)
当前时间(s): 140.447 音符打开: B4; 力度: 85(强)
当前时间(s): 140.623 音符关闭: E2; 力度: 55
当前时间(s): 140.624 音符打开: B2; 力度: 85(强)
当前时间(s): 140.633 音符关闭: #F4; 力度: 55
当前时间(s): 140.633 音符关闭: B4; 力度: 55
当前时间(s): 140.634 音符打开: #F4; 力度: 85(强)
当前时间(s): 140.634 音符打开: #C5; 力度: 85(强)
当前时间(s): 140.81 音符关闭: B2; 力度: 55
当前时间(s): 140.811 音符打开: E3; 力度: 85(强)
当前时间(s): 140.82 音符关闭: #F4; 力度: 55
当前时间(s): 140.82 音符关闭: #C5; 力度: 55
当前时间(s): 140.821 音符打开: #D5; 力度: 85(强)
当前时间(s): 140.997 音符关闭: E3; 力度: 55
当前时间(s): 140.999 音符打开: #G3; 力度: 85(强)
当前时间(s): 141.007 音符关闭: #D5; 力度: 55
当前时间(s): 141.009 音符打开: #F4; 力度: 85(强)
当前时间(s): 141.009 音符打开: B4; 力度: 85(强)
当前时间(s): 141.194 音符关闭: #F4; 力度: 55
当前时间(s): 141.194 音符关闭: B4; 力度: 55
当前时间(s): 141.196 音符打开: #C5; 力度: 85(强)
当前时间(s): 141.381 音符关闭: #C5; 力度: 55
当前时间(s): 141.383 音符打开: #D5; 力度: 85(强)
当前时间(s): 141.559 音符关闭: #G3; 力度: 55
当前时间(s): 141.561 音符打开: B3; 力度: 85(强)
当前时间(s): 141.569 音符关闭: #D5; 力度: 55
当前时间(s): 141.57 音符打开: #F4; 力度: 85(强)
当前时间(s): 141.57 音符打开: B4; 力度: 85(强)
当前时间(s): 141.746 音符关闭: B3; 力度: 55
当前时间(s): 141.748 音符打开: #A3; 力度: 85(强)
当前时间(s): 141.756 音符关闭: #F4; 力度: 55
当前时间(s): 141.756 音符关闭: B4; 力度: 55
当前时间(s): 141.757 音符打开: #F4; 力度: 85(强)
当前时间(s): 141.757 音符打开: #C5; 力度: 85(强)
当前时间(s): 141.933 音符关闭: #A3; 力度: 55
当前时间(s): 141.935 音符打开: #G3; 力度: 85(强)
当前时间(s): 141.943 音符关闭: #F4; 力度: 55
当前时间(s): 141.943 音符关闭: #C5; 力度: 55
当前时间(s): 141.944 音符打开: #D5; 力度: 85(强)
当前时间(s): 142.12 音符关闭: #G3; 力度: 55
当前时间(s): 142.122 音符打开: #F3; 力度: 85(强)
当前时间(s): 142.13 音符关闭: #D5; 力度: 55
当前时间(s): 142.131 音符打开: #F4; 力度: 85(强)
当前时间(s): 142.131 音符打开: B4; 力度: 85(强)
当前时间(s): 142.308 音符关闭: #F3; 力度: 55
当前时间(s): 142.309 音符打开: B2; 力度: 85(强)
当前时间(s): 142.317 音符关闭: #F4; 力度: 55
当前时间(s): 142.317 音符关闭: B4; 力度: 55
当前时间(s): 142.319 音符打开: B4; 力度: 85(强)
当前时间(s): 142.319 音符打开: #F5; 力度: 85(强)
当前时间(s): 142.495 音符关闭: B2; 力度: 55
当前时间(s): 142.496 音符打开: #F3; 力度: 85(强)
当前时间(s): 142.682 音符关闭: #F3; 力度: 55
当前时间(s): 142.683 音符打开: B3; 力度: 85(强)
当前时间(s): 142.869 音符关闭: B3; 力度: 55
当前时间(s): 142.87 音符打开: #D4; 力度: 85(强)
当前时间(s): 143.056 音符关闭: #D4; 力度: 55
当前时间(s): 143.254 音符关闭: B4; 力度: 55
当前时间(s): 143.254 音符关闭: #F5; 力度: 55
当前时间(s): 143.256 音符打开: #F4; 力度: 85(强)
当前时间(s): 143.256 音符打开: B4; 力度: 85(强)
当前时间(s): 143.433 音符打开: #F2; 力度: 85(强)
当前时间(s): 143.441 音符关闭: #F4; 力度: 55
当前时间(s): 143.441 音符关闭: B4; 力度: 55
当前时间(s): 143.443 音符打开: #F4; 力度: 85(强)
当前时间(s): 143.443 音符打开: B4; 力度: 85(强)
当前时间(s): 143.618 音符关闭: #F2; 力度: 55
当前时间(s): 143.62 音符打开: #C3; 力度: 85(强)
当前时间(s): 143.628 音符关闭: #F4; 力度: 55
当前时间(s): 143.628 音符关闭: B4; 力度: 55
当前时间(s): 143.63 音符打开: #F4; 力度: 85(强)
当前时间(s): 143.63 音符打开: #C5; 力度: 85(强)
当前时间(s): 143.805 音符关闭: #C3; 力度: 55
当前时间(s): 143.807 音符打开: #F3; 力度: 85(强)
当前时间(s): 143.993 音符关闭: #F3; 力度: 55
当前时间(s): 143.994 音符打开: #G3; 力度: 85(强)
当前时间(s): 144.18 音符关闭: #G3; 力度: 55
当前时间(s): 144.181 音符打开: #A3; 力度: 85(强)
当前时间(s): 144.367 音符关闭: #A3; 力度: 55
当前时间(s): 144.368 音符打开: B3; 力度: 85(强)
当前时间(s): 144.554 音符关闭: B3; 力度: 55
当前时间(s): 144.555 音符打开: #D4; 力度: 85(强)
当前时间(s): 144.741 音符关闭: #D4; 力度: 55
当前时间(s): 144.743 音符打开: #C4; 力度: 85(强)
当前时间(s): 144.753 音符关闭: #F4; 力度: 55
当前时间(s): 144.753 音符关闭: #C5; 力度: 55
当前时间(s): 144.755 音符打开: #F4; 力度: 85(强)
当前时间(s): 144.928 音符关闭: #C4; 力度: 55
当前时间(s): 144.93 音符打开: B3; 力度: 85(强)
当前时间(s): 144.94 音符关闭: #F4; 力度: 55
当前时间(s): 144.942 音符打开: #G4; 力度: 85(强)
当前时间(s): 145.115 音符关闭: B3; 力度: 55
当前时间(s): 145.117 音符打开: #A3; 力度: 85(强)
当前时间(s): 145.127 音符关闭: #G4; 力度: 55
当前时间(s): 145.129 音符打开: #A4; 力度: 85(强)
当前时间(s): 145.302 音符关闭: #A3; 力度: 55
当前时间(s): 145.304 音符打开: #G2; 力度: 85(强)
当前时间(s): 145.314 音符关闭: #A4; 力度: 55
当前时间(s): 145.316 音符打开: #F4; 力度: 85(强)
当前时间(s): 145.316 音符打开: B4; 力度: 85(强)
当前时间(s): 145.489 音符关闭: #G2; 力度: 55
当前时间(s): 145.491 音符打开: #D3; 力度: 85(强)
当前时间(s): 145.501 音符关闭: #F4; 力度: 55
当前时间(s): 145.501 音符关闭: B4; 力度: 55
当前时间(s): 145.503 音符打开: #C5; 力度: 85(强)
当前时间(s): 145.677 音符关闭: #D3; 力度: 55
当前时间(s): 145.678 音符打开: #G3; 力度: 85(强)
当前时间(s): 145.689 音符关闭: #C5; 力度: 55
当前时间(s): 145.69 音符打开: #D5; 力度: 85(强)
当前时间(s): 145.864 音符关闭: #G3; 力度: 55
当前时间(s): 145.865 音符打开: B3; 力度: 85(强)
当前时间(s): 145.876 音符关闭: #D5; 力度: 55
当前时间(s): 145.877 音符打开: #F4; 力度: 85(强)
当前时间(s): 145.877 音符打开: B4; 力度: 85(强)
当前时间(s): 146.051 音符关闭: B3; 力度: 55
当前时间(s): 146.063 音符关闭: #F4; 力度: 55
当前时间(s): 146.063 音符关闭: B4; 力度: 55
当前时间(s): 146.064 音符打开: #F4; 力度: 85(强)
当前时间(s): 146.064 音符打开: #C5; 力度: 85(强)
当前时间(s): 146.25 音符关闭: #F4; 力度: 55
当前时间(s): 146.25 音符关闭: #C5; 力度: 55
当前时间(s): 146.251 音符打开: #D5; 力度: 85(强)
当前时间(s): 146.427 音符打开: E2; 力度: 85(强)
当前时间(s): 146.437 音符关闭: #D5; 力度: 55
当前时间(s): 146.439 音符打开: #F4; 力度: 85(强)
当前时间(s): 146.439 音符打开: B4; 力度: 85(强)
当前时间(s): 146.613 音符关闭: E2; 力度: 55
当前时间(s): 146.614 音符打开: B2; 力度: 85(强)
当前时间(s): 146.624 音符关闭: #F4; 力度: 55
当前时间(s): 146.624 音符关闭: B4; 力度: 55
当前时间(s): 146.626 音符打开: #C5; 力度: 85(强)
当前时间(s): 146.8 音符关闭: B2; 力度: 55
当前时间(s): 146.802 音符打开: E3; 力度: 85(强)
当前时间(s): 146.811 音符关闭: #C5; 力度: 55
当前时间(s): 146.813 音符打开: #D5; 力度: 85(强)
当前时间(s): 146.987 音符关闭: E3; 力度: 55
当前时间(s): 146.989 音符打开: #G3; 力度: 85(强)
当前时间(s): 146.999 音符关闭: #D5; 力度: 55
当前时间(s): 147.0 音符打开: #F4; 力度: 85(强)
当前时间(s): 147.0 音符打开: B4; 力度: 85(强)
当前时间(s): 147.186 音符关闭: #F4; 力度: 55
当前时间(s): 147.186 音符关闭: B4; 力度: 55
当前时间(s): 147.187 音符打开: #F4; 力度: 85(强)
当前时间(s): 147.187 音符打开: #C5; 力度: 85(强)
当前时间(s): 147.373 音符关闭: #F4; 力度: 55
当前时间(s): 147.373 音符关闭: #C5; 力度: 55
当前时间(s): 147.374 音符打开: #D5; 力度: 85(强)
当前时间(s): 147.549 音符关闭: #G3; 力度: 55
当前时间(s): 147.551 音符打开: B3; 力度: 85(强)
当前时间(s): 147.56 音符关闭: #D5; 力度: 55
当前时间(s): 147.561 音符打开: #F4; 力度: 85(强)
当前时间(s): 147.561 音符打开: B4; 力度: 85(强)
当前时间(s): 147.737 音符关闭: B3; 力度: 55
当前时间(s): 147.738 音符打开: #A3; 力度: 85(强)
当前时间(s): 147.747 音符关闭: #F4; 力度: 55
当前时间(s): 147.747 音符关闭: B4; 力度: 55
当前时间(s): 147.749 音符打开: #F4; 力度: 85(强)
当前时间(s): 147.749 音符打开: #C5; 力度: 85(强)
当前时间(s): 147.924 音符关闭: #A3; 力度: 55
当前时间(s): 147.925 音符打开: #G3; 力度: 85(强)
当前时间(s): 147.934 音符关闭: #F4; 力度: 55
当前时间(s): 147.934 音符关闭: #C5; 力度: 55
当前时间(s): 147.936 音符打开: #D5; 力度: 85(强)
当前时间(s): 148.111 音符关闭: #G3; 力度: 55
当前时间(s): 148.112 音符打开: #F3; 力度: 85(强)
当前时间(s): 148.121 音符关闭: #D5; 力度: 55
当前时间(s): 148.123 音符打开: #F4; 力度: 85(强)
当前时间(s): 148.123 音符打开: B4; 力度: 85(强)
当前时间(s): 148.298 音符关闭: #F3; 力度: 55
当前时间(s): 148.299 音符打开: B2; 力度: 85(强)
当前时间(s): 148.308 音符关闭: #F4; 力度: 55
当前时间(s): 148.308 音符关闭: B4; 力度: 55
当前时间(s): 148.31 音符打开: B4; 力度: 85(强)
当前时间(s): 148.31 音符打开: #F5; 力度: 85(强)
当前时间(s): 148.485 音符关闭: B2; 力度: 55
当前时间(s): 148.487 音符打开: #F3; 力度: 85(强)
当前时间(s): 148.672 音符关闭: #F3; 力度: 55
当前时间(s): 148.674 音符打开: B3; 力度: 85(强)
当前时间(s): 148.859 音符关闭: B3; 力度: 55
当前时间(s): 148.861 音符打开: #D4; 力度: 85(强)
当前时间(s): 149.046 音符关闭: #D4; 力度: 55
当前时间(s): 149.245 音符关闭: B4; 力度: 55
当前时间(s): 149.245 音符关闭: #F5; 力度: 55
当前时间(s): 149.247 音符打开: #F4; 力度: 85(强)
当前时间(s): 149.247 音符打开: B4; 力度: 85(强)
当前时间(s): 149.423 音符打开: #F2; 力度: 85(强)
当前时间(s): 149.433 音符关闭: #F4; 力度: 55
当前时间(s): 149.433 音符关闭: B4; 力度: 55
当前时间(s): 149.434 音符打开: #F4; 力度: 85(强)
当前时间(s): 149.434 音符打开: B4; 力度: 85(强)
当前时间(s): 149.608 音符关闭: #F2; 力度: 55
当前时间(s): 149.61 音符打开: #C3; 力度: 85(强)
当前时间(s): 149.62 音符关闭: #F4; 力度: 55
当前时间(s): 149.62 音符关闭: B4; 力度: 55
当前时间(s): 149.621 音符打开: #F4; 力度: 85(强)
当前时间(s): 149.621 音符打开: #C5; 力度: 85(强)
当前时间(s): 149.796 音符关闭: #C3; 力度: 55
当前时间(s): 149.797 音符打开: #G3; 力度: 85(强)
当前时间(s): 149.983 音符关闭: #G3; 力度: 55
当前时间(s): 149.984 音符打开: #A3; 力度: 85(强)
当前时间(s): 150.17 音符关闭: #A3; 力度: 55
当前时间(s): 150.171 音符打开: B3; 力度: 85(强)
当前时间(s): 150.357 音符关闭: B3; 力度: 55
当前时间(s): 150.358 音符打开: #D4; 力度: 85(强)
当前时间(s): 150.544 音符关闭: #D4; 力度: 55
当前时间(s): 150.546 音符打开: #C4; 力度: 85(强)
当前时间(s): 150.557 音符关闭: #F4; 力度: 55
当前时间(s): 150.557 音符关闭: #C5; 力度: 55
当前时间(s): 150.731 音符关闭: #C4; 力度: 55
当前时间(s): 150.733 音符打开: B3; 力度: 85(强)
当前时间(s): 150.918 音符关闭: B3; 力度: 55
当前时间(s): 150.92 音符打开: #A3; 力度: 85(强)
当前时间(s): 151.106 音符关闭: #A3; 力度: 55
当前时间(s): 151.294 音符打开: #D3; 力度: 85(强)
当前时间(s): 151.294 音符打开: #F3; 力度: 85(强)
当前时间(s): 151.294 音符打开: #A3; 力度: 85(强)
当前时间(s): 151.308 音符打开: #A4; 力度: 85(强)
当前时间(s): 151.681 音符关闭: #A4; 力度: 55
当前时间(s): 151.683 音符打开: #G4; 力度: 85(强)
当前时间(s): 151.869 音符关闭: #G4; 力度: 55
当前时间(s): 151.87 音符打开: #A4; 力度: 85(强)
当前时间(s): 152.056 音符关闭: #A4; 力度: 55
当前时间(s): 152.057 音符打开: #A4; 力度: 85(强)
当前时间(s): 152.243 音符关闭: #A4; 力度: 55
当前时间(s): 152.244 音符打开: #G4; 力度: 85(强)
当前时间(s): 152.43 音符关闭: #G4; 力度: 55
当前时间(s): 152.431 音符打开: B4; 力度: 85(强)
当前时间(s): 152.793 音符关闭: #F3; 力度: 55
当前时间(s): 152.793 音符关闭: #D3; 力度: 55
当前时间(s): 152.793 音符关闭: #A3; 力度: 55
当前时间(s): 152.794 音符打开: E3; 力度: 85(强)
当前时间(s): 152.794 音符打开: #G3; 力度: 85(强)
当前时间(s): 152.794 音符打开: B3; 力度: 85(强)
当前时间(s): 153.18 音符关闭: B4; 力度: 55
当前时间(s): 153.181 音符打开: #G4; 力度: 85(强)
当前时间(s): 153.554 音符关闭: #G4; 力度: 55
当前时间(s): 153.556 音符打开: #F4; 力度: 85(强)
当前时间(s): 154.292 音符关闭: E3; 力度: 55
当前时间(s): 154.292 音符关闭: #G3; 力度: 55
当前时间(s): 154.292 音符关闭: B3; 力度: 55
当前时间(s): 154.294 音符打开: #F3; 力度: 85(强)
当前时间(s): 154.294 音符打开: #A3; 力度: 85(强)
当前时间(s): 154.294 音符打开: #C4; 力度: 85(强)
当前时间(s): 154.304 音符关闭: #F4; 力度: 55
当前时间(s): 154.305 音符打开: #C5; 力度: 85(强)
当前时间(s): 154.679 音符关闭: #C5; 力度: 55
当前时间(s): 154.68 音符打开: #C5; 力度: 85(强)
当前时间(s): 154.866 音符关闭: #C5; 力度: 55
当前时间(s): 154.867 音符打开: #C5; 力度: 85(强)
当前时间(s): 155.24 音符关闭: #C5; 力度: 55
当前时间(s): 155.242 音符打开: #D5; 力度: 85(强)
当前时间(s): 155.427 音符关闭: #D5; 力度: 55
当前时间(s): 155.429 音符打开: E5; 力度: 85(强)
当前时间(s): 155.792 音符关闭: #F3; 力度: 55
当前时间(s): 155.792 音符关闭: #A3; 力度: 55
当前时间(s): 155.792 音符关闭: #C4; 力度: 55
当前时间(s): 155.793 音符打开: #G3; 力度: 85(强)
当前时间(s): 155.793 音符打开: B3; 力度: 85(强)
当前时间(s): 155.793 音符打开: #D4; 力度: 85(强)
当前时间(s): 155.802 音符关闭: E5; 力度: 55
当前时间(s): 155.804 音符打开: B4; 力度: 85(强)
当前时间(s): 155.804 音符打开: #D5; 力度: 85(强)
当前时间(s): 156.927 音符关闭: B4; 力度: 55
当前时间(s): 156.927 音符关闭: #D5; 力度: 55
当前时间(s): 156.928 音符打开: #G4; 力度: 85(强)
当前时间(s): 157.292 音符关闭: #G3; 力度: 55
当前时间(s): 157.292 音符关闭: B3; 力度: 55
当前时间(s): 157.292 音符关闭: #D4; 力度: 55
当前时间(s): 157.293 音符打开: F3; 力度: 85(强)
当前时间(s): 157.293 音符打开: #G3; 力度: 85(强)
当前时间(s): 157.293 音符打开: #C4; 力度: 85(强)
当前时间(s): 157.301 音符关闭: #G4; 力度: 55
当前时间(s): 157.303 音符打开: #A4; 力度: 85(强)
